dUtime,dStime,dUser,dSystem,dIdle,dNice,dIowait,dIrq,dSoftirq,dSteal,dGuest,dGuest_nice,sys_usage,proc_usage
94,0,95,1,518,0,0,0,0,0,0,0,0.1563517915309446,0.15309446254071662
93,0,93,0,510,0,1,0,0,0,0,0,0.15397350993377484,0.15397350993377484
93,0,93,0,511,0,0,0,0,0,0,0,0.15397350993377484,0.15397350993377484
94,0,96,0,519,0,0,0,0,0,0,0,0.15609756097560976,0.15284552845528454
95,0,95,0,529,0,0,0,0,0,0,0,0.15224358974358973,0.15224358974358973
93,0,92,0,508,0,0,0,0,0,0,0,0.15333333333333332,0.155
92,0,93,0,509,0,0,0,0,0,0,0,0.15448504983388706,0.15282392026578073
94,0,96,0,514,0,0,0,0,0,0,0,0.15737704918032788,0.1540983606557377
92,0,92,0,512,0,0,0,0,0,0,0,0.152317880794702,0.152317880794702
96,0,95,0,521,0,0,0,0,0,0,0,0.15422077922077923,0.15584415584415584
93,0,94,0,516,0,1,0,0,0,0,0,0.15384615384615385,0.15220949263502456
92,1,93,0,509,0,0,0,0,0,0,0,0.15448504983388706,0.15448504983388706
93,0,95,0,512,0,0,0,0,0,0,0,0.15650741350906094,0.15321252059308071
94,0,94,0,515,0,0,0,0,0,0,0,0.15435139573070608,0.15435139573070608
96,0,97,0,528,0,0,0,0,0,0,0,0.1552,0.1536
94,0,96,0,524,0,0,0,0,0,0,0,0.15483870967741936,0.15161290322580645
94,0,95,0,521,0,0,0,0,0,0,0,0.15422077922077923,0.1525974025974026
92,0,93,0,515,0,0,0,0,0,0,0,0.15296052631578946,0.1513157894736842
92,0,93,0,510,0,0,0,0,0,0,0,0.15422885572139303,0.15257048092868988
93,0,95,0,509,0,0,0,0,0,0,0,0.15728476821192053,0.15397350993377484
93,0,92,0,515,0,0,0,0,0,0,0,0.1515650741350906,0.15321252059308071
95,0,98,0,519,0,0,0,0,0,0,0,0.15883306320907617,0.1539708265802269
93,0,94,0,517,0,0,0,0,0,0,0,0.15384615384615385,0.15220949263502456
95,0,97,0,524,0,0,0,0,0,0,0,0.15619967793880837,0.1529790660225443
93,0,93,0,511,0,0,0,0,0,0,0,0.15397350993377484,0.15397350993377484
92,0,93,0,511,0,0,0,0,0,0,0,0.15397350993377484,0.152317880794702
93,0,93,0,512,0,0,0,0,0,0,0,0.1537190082644628,0.1537190082644628
92,0,95,0,507,0,0,0,0,0,0,0,0.15780730897009967,0.15282392026578073
92,0,92,0,513,0,0,0,0,0,0,0,0.15206611570247933,0.15206611570247933
94,0,95,0,526,0,0,0,0,0,0,0,0.1529790660225443,0.15136876006441224
94,0,94,0,518,0,0,0,0,0,0,0,0.15359477124183007,0.15359477124183007
93,0,96,0,512,0,0,0,0,0,0,0,0.15789473684210525,0.15296052631578946
93,0,93,0,514,0,0,0,0,0,0,0,0.15321252059308071,0.15321252059308071
92,0,92,0,508,0,0,0,0,0,0,0,0.15333333333333332,0.15333333333333332
95,0,96,0,521,0,0,0,0,0,0,0,0.15559157212317667,0.1539708265802269
92,0,93,0,507,0,0,0,0,0,0,0,0.155,0.15333333333333332
93,0,94,0,514,0,0,0,0,0,0,0,0.15460526315789475,0.15296052631578946
93,0,93,0,512,0,0,0,0,0,0,0,0.1537190082644628,0.1537190082644628
93,0,93,0,511,0,0,0,0,0,0,0,0.15397350993377484,0.15397350993377484
93,0,95,0,511,0,1,0,0,0,0,0,0.15650741350906094,0.15321252059308071
93,0,92,0,506,0,0,0,0,0,0,0,0.15384615384615385,0.15551839464882944
94,0,95,0,520,0,0,0,0,0,0,0,0.15447154471544716,0.15284552845528454
93,0,93,0,509,0,0,0,0,0,0,0,0.15448504983388706,0.15448504983388706
95,0,97,0,522,0,0,0,0,0,0,0,0.1567043618739903,0.15347334410339256
92,0,92,0,509,0,0,0,0,0,0,0,0.15307820299500832,0.15307820299500832
95,0,96,0,527,0,0,0,0,0,0,0,0.15409309791332262,0.15248796147672553
94,0,95,0,519,0,0,0,0,0,0,0,0.15472312703583063,0.15309446254071662
94,0,95,0,515,0,0,0,0,0,0,0,0.1557377049180328,0.1540983606557377
95,0,96,0,523,0,0,0,0,0,0,0,0.15508885298869143,0.15347334410339256
93,0,93,0,515,0,0,0,0,0,0,0,0.15296052631578946,0.15296052631578946
93,0,94,0,521,0,0,0,0,0,0,0,0.15284552845528454,0.15121951219512195
94,0,95,0,516,0,0,0,0,0,0,0,0.15548281505728315,0.15384615384615385
94,0,93,0,516,0,0,0,0,0,0,0,0.15270935960591134,0.15435139573070608
93,0,93,0,515,0,0,0,0,0,0,0,0.15296052631578946,0.15296052631578946
96,0,97,0,527,0,0,0,0,0,0,0,0.15544871794871795,0.15384615384615385
93,0,94,0,514,0,0,0,0,0,0,0,0.15460526315789475,0.15296052631578946
95,0,95,0,519,0,0,0,0,0,0,0,0.15472312703583063,0.15472312703583063
92,0,93,0,510,0,0,0,0,0,0,0,0.15422885572139303,0.15257048092868988
93,0,95,0,515,0,0,0,0,0,0,0,0.1557377049180328,0.15245901639344261
92,0,95,0,506,0,1,0,0,0,0,0,0.15780730897009967,0.15282392026578073
92,0,93,0,513,0,0,0,0,0,0,0,0.15346534653465346,0.15181518151815182
92,0,93,0,508,0,0,0,0,0,0,0,0.15474209650582363,0.15307820299500832
93,0,92,0,509,0,0,0,0,0,0,0,0.15307820299500832,0.15474209650582363
95,0,99,0,520,0,0,0,0,0,0,0,0.15993537964458804,0.15347334410339256
92,0,93,0,509,0,0,0,0,0,0,0,0.15448504983388706,0.15282392026578073
95,0,95,0,524,0,0,0,0,0,0,0,0.15347334410339256,0.15347334410339256
93,0,94,0,513,0,0,0,0,0,0,0,0.15485996705107083,0.15321252059308071
94,0,95,0,514,0,0,0,0,0,0,0,0.15599343185550082,0.15435139573070608
92,0,95,0,507,0,1,0,0,0,0,0,0.15754560530679934,0.15257048092868988
96,0,96,0,527,0,0,0,0,0,0,0,0.15409309791332262,0.15409309791332262
93,0,93,0,514,0,0,0,0,0,0,0,0.15321252059308071,0.15321252059308071
93,0,94,0,513,0,0,0,0,0,0,0,0.15485996705107083,0.15321252059308071
93,0,93,0,513,0,1,0,0,0,0,0,0.15321252059308071,0.15321252059308071
94,0,95,0,521,0,0,0,0,0,0,0,0.15422077922077923,0.1525974025974026
92,0,92,0,508,0,0,0,0,0,0,0,0.15333333333333332,0.15333333333333332
94,1,95,0,524,0,0,0,0,0,0,0,0.15347334410339256,0.15347334410339256
95,0,97,0,520,0,1,0,0,0,0,0,0.156957928802589,0.15372168284789645
92,0,93,0,508,0,0,0,0,0,0,0,0.15474209650582363,0.15307820299500832
93,0,92,0,509,0,0,0,0,0,0,0,0.15307820299500832,0.15474209650582363
94,0,95,0,517,0,0,0,0,0,0,0,0.15522875816993464,0.15359477124183007
94,0,93,0,511,0,0,0,0,0,0,0,0.15397350993377484,0.15562913907284767
94,0,94,0,521,0,0,0,0,0,0,0,0.15284552845528454,0.15284552845528454
95,0,94,0,519,0,0,0,0,0,0,0,0.1533442088091354,0.15497553017944535
93,0,95,0,511,0,0,0,0,0,0,0,0.15676567656765678,0.15346534653465346
92,0,93,0,508,0,1,0,0,0,0,0,0.15448504983388706,0.15282392026578073
95,0,94,0,519,0,0,0,0,0,0,0,0.1533442088091354,0.15497553017944535
95,0,96,0,529,0,0,0,0,0,0,0,0.1536,0.152
93,0,94,0,510,0,0,0,0,0,0,0,0.15562913907284767,0.15397350993377484
97,0,98,0,532,0,0,0,0,0,0,0,0.15555555555555556,0.15396825396825398
94,0,95,0,519,0,0,0,0,0,0,0,0.15472312703583063,0.15309446254071662
94,0,94,0,513,0,0,0,0,0,0,0,0.15485996705107083,0.15485996705107083
91,0,94,0,511,0,0,0,0,0,0,0,0.15537190082644628,0.15041322314049588
95,0,96,0,520,0,0,0,0,0,0,0,0.15584415584415584,0.15422077922077923
94,0,94,0,517,0,0,0,0,0,0,0,0.15384615384615385,0.15384615384615385
94,0,94,0,515,0,1,0,0,0,0,0,0.1540983606557377,0.1540983606557377
92,0,94,0,509,0,0,0,0,0,0,0,0.1558872305140962,0.15257048092868988
93,0,92,0,507,0,1,0,0,0,0,0,0.15333333333333332,0.155
95,0,96,0,529,0,0,0,0,0,0,0,0.1536,0.152
