dUtime,dStime,dUser,dSystem,dIdle,dNice,dIowait,dIrq,dSoftirq,dSteal,dGuest,dGuest_nice,sys_usage,proc_usage
150,0,150,0,150,0,0,0,0,0,0,0,0.5,0.5
150,0,150,0,150,0,0,0,0,0,0,0,0.5,0.5
151,0,151,0,150,0,0,0,0,0,0,0,0.5016611295681063,0.5016611295681063
150,0,150,0,149,0,0,0,0,0,0,0,0.5016722408026756,0.5016722408026756
149,0,149,0,148,0,0,0,0,0,0,0,0.5016835016835017,0.5016835016835017
149,0,149,0,149,0,0,0,0,0,0,0,0.5,0.5
150,0,149,0,148,0,0,0,0,0,0,0,0.5016835016835017,0.5050505050505051
150,0,150,0,149,0,0,0,0,0,0,0,0.5016722408026756,0.5016722408026756
149,0,149,0,149,0,0,0,0,0,0,0,0.5,0.5
149,0,149,0,148,0,0,0,0,0,0,0,0.5016835016835017,0.5016835016835017
150,0,149,0,149,0,0,0,0,0,0,0,0.5,0.5033557046979866
150,0,150,0,149,0,0,0,0,0,0,0,0.5016722408026756,0.5016722408026756
149,0,150,0,148,0,0,0,0,0,0,0,0.5033557046979866,0.5
149,0,149,0,149,0,0,0,0,0,0,0,0.5,0.5
150,0,150,0,149,0,0,0,0,0,0,0,0.5016722408026756,0.5016722408026756
152,0,151,0,151,0,0,0,0,0,0,0,0.5,0.5033112582781457
152,0,152,0,152,0,0,0,0,0,0,0,0.5,0.5
149,0,149,0,149,0,0,0,0,0,0,0,0.5,0.5
150,0,149,0,148,0,0,0,0,0,0,0,0.5016835016835017,0.5050505050505051
151,0,152,0,150,0,0,0,0,0,0,0,0.5033112582781457,0.5
151,0,150,0,150,0,0,0,0,0,0,0,0.5,0.5033333333333333
151,0,151,0,151,0,0,0,0,0,0,0,0.5,0.5
151,1,151,0,150,0,0,0,0,0,0,0,0.5016611295681063,0.5049833887043189
151,0,150,0,150,0,1,0,0,0,0,0,0.4983388704318937,0.5016611295681063
150,0,151,0,150,0,0,0,0,0,0,0,0.5016611295681063,0.4983388704318937
151,0,151,0,150,0,0,0,0,0,0,0,0.5016611295681063,0.5016611295681063
151,0,150,0,150,0,0,0,0,0,0,0,0.5,0.5033333333333333
150,0,150,0,150,0,0,0,0,0,0,0,0.5,0.5
150,0,150,0,150,0,0,0,0,0,0,0,0.5,0.5
150,1,151,0,148,0,0,0,0,0,0,0,0.5050167224080268,0.5050167224080268
150,0,150,0,149,0,0,0,0,0,0,0,0.5016722408026756,0.5016722408026756
149,0,149,0,149,0,0,0,0,0,0,0,0.5,0.5
150,0,151,0,148,0,0,0,0,0,0,0,0.5050167224080268,0.5016722408026756
150,0,150,0,149,0,0,0,0,0,0,0,0.5016722408026756,0.5016722408026756
150,0,149,0,149,0,0,0,0,0,0,0,0.5,0.5033557046979866
150,0,150,0,150,0,0,0,0,0,0,0,0.5,0.5
150,0,151,0,150,0,0,0,0,0,0,0,0.5016611295681063,0.4983388704318937
152,0,151,0,152,0,0,0,0,0,0,0,0.49834983498349833,0.5016501650165016
150,0,150,0,150,0,0,0,0,0,0,0,0.5,0.5
152,0,152,0,151,0,0,0,0,0,0,0,0.5016501650165016,0.5016501650165016
152,0,152,0,152,0,0,0,0,0,0,0,0.5,0.5
152,0,152,0,152,0,0,0,0,0,0,0,0.5,0.5
152,0,153,0,151,0,0,0,0,0,0,0,0.5032894736842105,0.5
151,0,151,0,151,0,0,0,0,0,0,0,0.5,0.5
150,0,150,0,151,0,0,0,0,0,0,0,0.4983388704318937,0.4983388704318937
152,0,152,1,150,0,0,0,0,0,0,0,0.504950495049505,0.5016501650165016
152,0,152,0,151,0,0,0,0,0,0,0,0.5016501650165016,0.5016501650165016
151,0,151,0,151,0,0,0,0,0,0,0,0.5,0.5
152,0,151,0,151,0,0,0,0,0,0,0,0.5,0.5033112582781457
151,0,153,1,150,0,0,0,0,0,0,0,0.506578947368421,0.4967105263157895
151,0,150,0,150,0,0,0,0,0,0,0,0.5,0.5033333333333333
152,0,152,0,151,0,0,0,0,0,0,0,0.5016501650165016,0.5016501650165016
150,0,150,0,150,0,0,0,0,0,0,0,0.5,0.5
150,0,149,0,149,0,0,0,0,0,0,0,0.5,0.5033557046979866
149,0,149,0,148,0,0,0,0,0,0,0,0.5016835016835017,0.5016835016835017
149,0,150,0,149,0,0,0,0,0,0,0,0.5016722408026756,0.4983277591973244
148,0,150,0,147,0,0,0,0,0,0,0,0.5050505050505051,0.4983164983164983
150,0,150,0,149,0,0,0,0,0,0,0,0.5016722408026756,0.5016722408026756
150,0,152,0,147,0,1,0,0,0,0,0,0.5066666666666667,0.5
150,0,149,0,149,0,0,0,0,0,0,0,0.5,0.5033557046979866
149,0,149,0,149,0,0,0,0,0,0,0,0.5,0.5
150,0,150,0,149,0,0,0,0,0,0,0,0.5016722408026756,0.5016722408026756
149,0,149,0,149,0,0,0,0,0,0,0,0.5,0.5
150,0,150,0,148,0,0,0,0,0,0,0,0.5033557046979866,0.5033557046979866
150,0,150,0,148,0,0,0,0,0,0,0,0.5033557046979866,0.5033557046979866
150,0,150,1,150,0,0,0,0,0,0,0,0.5016611295681063,0.4983388704318937
150,0,150,0,150,0,0,0,0,0,0,0,0.5,0.5
149,0,150,1,149,0,0,0,0,0,0,0,0.5033333333333333,0.49666666666666665
149,0,149,0,149,0,0,0,0,0,0,0,0.5,0.5
149,0,149,0,148,0,0,0,0,0,0,0,0.5016835016835017,0.5016835016835017
150,0,149,0,149,0,0,0,0,0,0,0,0.5,0.5033557046979866
149,0,150,0,148,0,0,0,0,0,0,0,0.5033557046979866,0.5
150,0,150,0,148,0,0,0,0,0,0,0,0.5033557046979866,0.5033557046979866
149,0,149,0,149,0,0,0,0,0,0,0,0.5,0.5
149,0,149,0,148,0,0,0,0,0,0,0,0.5016835016835017,0.5016835016835017
149,0,150,0,149,0,0,0,0,0,0,0,0.5016722408026756,0.4983277591973244
149,0,149,0,149,0,0,0,0,0,0,0,0.5,0.5
150,0,150,0,149,0,0,0,0,0,0,0,0.5016722408026756,0.5016722408026756
